Semestre,Clave,Asignatura,Link
4,LFM415,calculo iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/4/Calculo_IV.pdf
4,LFM418,fisica iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/4/Fisica_IV.pdf
4,LFM991,laboratorio de fisica iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/4/Laboratorio_de_Fisica_IV.pdf
4,LFM416,algebra iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/4/Algebra_IV.pdf
4,LFM417,programacion ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/4/Programacion_II.pdf
5,LFM572,analisis,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/5/Analisis.pdf
5,LFM574,didactica general,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/5/Didactica_General.pdf
5,LFM575,historia de las matematicas,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/5/Historia_de_las_Matematicas.pdf
5,LFM573,algebra y geometria,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/5/Algebra_y_Geometria.pdf
6,LFM678,probabilidad y estadistica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/6/Probabilidad_y_Estadistica_I.pdf
6,LFM679,taller pedagogico i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/6/Taller_Pedagogico_I.pdf
6,LFM676,topicos de ecuaciones diferenciales i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/6/Topicos_de_Ecuaciones_Diferenciales_I.pdf
6,LFM677,geometria i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/6/Geometria_I.pdf
7,LFM783,taller pedagogico ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/7/Taller_Pedagogico_II.pdf
7,LFM785,filosofia de la ciencia i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/7/Filosofia_de_la_Ciencia_I.pdf
7,LFM780,topicos de ecuaciones diferenciales ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/7/Topicos_de_Ecuaciones_Diferenciales_II.pdf
7,LFM781,geometria ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/7/GEOMETRIA_II.pdf
7,LFM782,probabilidad y estadistica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/7/Probabilidad_y_Estadistica_II.pdf
7,LFM784,seminario de la problematica educativa nacional,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/7/Seminario_de_la_Problematica_Educativa_Nacional.pdf
8,LFM887,filosofia de la ciencia ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/8/Filosofia_de_la_Ciencia_II.pdf
8,LFM886,variable compleja,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/8/Variable_Compleja.pdf
8,LFM888,temas aplicativos de la matematica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/8/Temas_Aplicativos_de_la_Matematica.pdf
