Semestre,Clave,Asignatura,Link
4,LFM415,calculo iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/4/Calculo_IV.pdf
4,LFM418,fisica iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/4/Fisica_IV.pdf
4,LFM991,laboratorio de fisica iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/4/Laboratorio_de_Fisica_IV.pdf
4,LFM419,introduccion a metodos matematicos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/4/Introduccion_a_Metodos_Matematicos.pdf
4,LFM420,circuitos electricos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/4/Circuitos_electricos.pdf
5,LFM542,fisica teorica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Fisica_Teorica_I.pdf
5,LFM543,introduccion a la fisica moderna,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Introduccion_a_la_Fisica_Moderna.pdf
5,LFM745,laboratorio i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Laboratorio_I.pdf
5,LFM644,metodos matematicos i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Metodos_Matematicos_I.pdf
5,LFM644,metodos matematicos i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Metodos_Matematicos_I.pdf
5,LFM750,metodos matematicos ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Metodos_Matematicos_II.pdf
5,LFM745,laboratorio i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Laboratorio_I.pdf
5,LFM852,laboratorio ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Laboratorio_II.pdf
5,LFM859,laboratorio iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Laboratorio_III.pdf
5,LFM868,laboratorio iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Laboratorio_IV.pdf
5,LFM651,electronica funcional i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Electronica_Funcional_I.pdf
6,LFM648,fisica teorica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/6/Fisica_Teorica_II.pdf
6,LFM649,mecanica cuantica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/6/Mecanica_Cuantica_I.pdf
7,LFM755,fisica teorica iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/7/Fisica_Teorica_III.pdf
7,LFM757,introduccion a la fisica del estado solido,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/7/Introduccion_a_la_Fisica_del_Estado_Solido.pdf
7,LFM750,metodos matematicos ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/7/Metodos_Matematicos_II.pdf
7,LFM760,teoria del control i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/7/Teoria_del_Control_I.pdf
7,LFM651,electronica funcional i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/7/Electronica_Funcional_I.pdf
8,LFM864,fisica estadistica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/8/Fisica_Estadistica.pdf
8,LFM863,fisica teorica iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/8/Fisica_Teorica_IV.pdf
8,LFM865,radiacion y propagacion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/8/Radiacion_y_Propagacion.pdf
8,LFM866,introduccion a la fisica atomica y molecular,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/8/Introduccion_a_la_Fisica_Atomica_y_Molecular.pdf
8,LFM867,introduccion a fisica nuclear y particulas elementales,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/8/Introduccion_a_Fisica_Nuclear_y_Particulas_Elementales.pdf
8,LFM869,teoria del control ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/8/Teoria_del_Control_II.pdf
