Semestre,Clave,Asignatura,Link
4,LFM415,calculo iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/4/Calculo_IV.pdf
4,LFM418,fisica iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/4/Fisica_IV.pdf
4,LFM997,laboratorio fisica iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/4/Laboratorio_de_Fisica_IV.pdf
4,LFM416,algebra iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/4/Algebra_IV.pdf
4,LFM417,programacion ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/4/Programacion_II.pdf
5,LFM501,analisis matematico i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/5/Analisis_Matematico_I.pdf
5,LFM502,algebra moderna i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/5/Algebra_Moderna_I.pdf
5,LFM503,geometria diferencial i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/5/Geometria_Diferencial_I.pdf
5,LFM505,probabilidad i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/5/Probabilidad_I.pdf
5,LFM506,metodos numericos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/5/Metodos_Numericos.pdf
6,LFM601,analisis matematico ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Analisis_Matematico_II.pdf
6,LFM604,geometria diferencial ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Geometria-Diferencial-II.pdf
6,LFM602,introduccion funciones variable compleja i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Introduccion_a_Funciones_de_Variable_Compleja_I.pdf
6,LFM603,algebra moderna ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Algebra_Moderna_II.pdf
6,LFM605,introduccion sistemas,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Introduccion_a_Sistemas.pdf
6,LFM606,programacion lineal,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Programacion_Lineal.pdf
6,LFM607,probabilidad ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Probabilidad_II.pdf
6,LFM608,analisis numerico i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/6/Analisis_Numerico_I.pdf
7,LFM719,analisis matematico iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Analisis_Matematico_III.pdf
7,LFM720,funciones variable compleja i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Funciones_de_Variable_Compleja_I.pdf
7,LFM721,teoria ecuaciones diferenciales i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Teoria-Ecuaciones-Diferenciales-I.pdf
7,LFM722,algebra moderna iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Algebra_Moderna_III.pdf
7,LFM723,geometria diferencial iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Geometria_Diferencial_III.pdf
7,LFM724,topologia i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Topologia_I.pdf
7,LFM725,fundamentos computacion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/FUNDAMENTOS_DE_COMPUTACIÓN.pdf
7,LFM726,investigacion operaciones i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Investigacion_de_Operaciones_I.pdf
7,LFM727,estadistica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Estadistica_I.pdf
7,LFM728,analisis numerico ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/7/Analisis_Numerico_II.pdf
8,LFM835,topologia ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Topologia-II.pdf
8,LFM831,analisis matematico iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Analisis_Matematico_IV.pdf
8,LFM832,funciones varaible compleja ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Funciones_de_Varaible_Compleja_II.pdf
8,LFM833,teoria ecuaciones diferenciales ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Teoria_de_Ecuaciones_Diferenciales_II.pdf
8,LFM834,algebra moderna iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Algebra_Moderna_IV.pdf
8,LFM836,arquitectura una computadora,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Arquitectura_de_una_Computadora.pdf
8,LFM837,investigacion operaciones ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Investigacion_de_Operaciones_II.pdf
8,LFM838,estadistica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Estadistica_II.pdf
8,LFM839,analisis numerico iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Analisis_Numerico_III.pdf
8,LFM992,edp,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/EDP.pdf
8,LFM993,mat financieras,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/mat_financieras.pdf
