Semestre,Clave,Asignatura,Link
4,LFM415,calculo iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/4/Calculo_IV.pdf
4,LFM418,fisica iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/4/Fisica_IV.pdf
4,LFM997,laboratorio fisica iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/4/Laboratorio_de_Fisica_IV.pdf
4,LFM419,introduccion metodos matematicos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/4/Introduccion_a_Metodos_Matematicos.pdf
4,LFM417,programacion ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/4/Programacion_II.pdf
5,LFM542,fisica teorica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/5/Fisica_Teorica.pdf
5,LFM543,introduccion fisica moderna,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/5/Introduccion_a_la_Fisica_Moderna.pdf
5,LFM506,metodos numericos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/5/Metodos_Numericos.pdf
5,LFM590,introduccion ingenieria nuclear,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/5/Introduccion_a_la_Ingenieria_Nuclear.pdf
6,LFM649,mecanica cuantica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/6/Mecanica_Cuantica_I.pdf
6,LFM505,probabilidad i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/6/Probabilidad_I.pdf
6,LFM691,termodinamica ciclos potencia,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/6/Termodinamica_de_Ciclos_de_Potencia.pdf
6,LFM692,transferencia calor,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/6/Transferencia_de_Calor.pdf
7,LFM755,fisica teorica iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/7/Fisica_Teorica_III.pdf
7,LFM756,mecanica cuantica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/7/Mecanica_Cuantica_II.pdf
7,LFM793,ingenieria nuclear i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/7/Ingeneiria_Nuclear_I.pdf
7,LFM794,teoria reactores nucleares i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/7/Teoria_de_Reactores_Nucleares_I.pdf
8,LFM895,ingenieria nuclear ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/8/Ingenieria_Nuclear_II.pdf
8,LFM859,laboratorio iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/8/Laboratorio_III.pdf
8,LFM896,teoria reactores ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/8/Teoria_de_Reactores_II.pdf
8,LFM897,proteccion radiologica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/8/Proteccion_Radiologica.pdf
