Semestre,Clave,Asignatura,Link
1,LFM101,calculo i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/1/Calculo_I.pdf
1,LFM102,algebra i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/1/Algebra_I.pdf
1,LFM103,geometria analitica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/1/Geometria_Analitica.pdf
1,LFM104,fisica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/1/Fisica_I.pdf
1,LFM994,laboratorio fisica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/1/Laboratorio_de_Fisica_I.pdf
2,LFM205,calculo ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/2/Calculo_II.pdf
2,LFM207,algebra ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/2/Algebra_II.pdf
2,LFM206,ecuaciones diferenciales,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/2/Ecuaciones_Diferenciales.pdf
2,LFM208,fisica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/2/Fisica_II.pdf
2,LFM995,laboratorio fisica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/2/Laboratorio_de_Fisica_II.pdf
2,LFM209,analisis vectorial,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/2/Analisis_Vectorial.pdf
3,LFM310,calculo iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/3/Calculo_III.pdf
3,LFM311,algebra iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/3/Algebra_III.pdf
3,LFM314,fisica iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/3/Fisica_III.pdf
3,LFM996,laboratorio fisica iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/3/Laboratorio_de_Fisica_III.pdf
3,LFM313,programacion i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/3/Programacion_I.pdf
3,LFM312,geometria proyectiva,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/tronco-comun/3/Geometria_Proyectiva.pdf
