Semestre,Clave,Asignatura,Link
1,M101,sociedad y conocimiento,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/1/Sociedad_y_Conocimiento.pdf
1,M102,calculo i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/1/Calculo_I.pdf
1,M103,algebra i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/1/Algebra_I.pdf
1,M104,geometria analitica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/1/Geometria_Analitica.pdf
1,M105,informatica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/1/Informatica.pdf
2,M206,introduccion a la ingenieria,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Introduccion_a_la_Ingenieria.pdf
2,M207,calculo ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Calculo_II.pdf
2,M208,algebra ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Algebra_II.pdf
2,M209,matematicas discretas,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Matematicas_Discretas.pdf
2,M210,programacion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Programacion.pdf
3,M311,economia,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Economia.pdf
3,M312,calculo iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Calculo_III.pdf
3,M313,algebra iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Algebra_III.pdf
3,M314,ecuaciones diferenciales ordinarias i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Ecuaciones_Diferenciales_Ordinarias_I.pdf
3,M315,metodos numericos i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Metodos_Numericos_I.pdf
4,M416,ingenieria economica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Ingenieria_Economica.pdf
4,M417,fisica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Fisica_I.pdf
4,M418,optimizacion lineal,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Optimizacion_Lineal.pdf
4,M419,ecuaciones diferenciales ordinarias ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Ecuaciones_Diferenciales_Ordinarias_II.pdf
4,M420,metodos numericos ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Metodos_Numericos_II.pdf
5,M521,formulacion y evaluacion de proyectos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Formulacion_y_Evaluacion_de_Proyectos.pdf
5,M522,fisica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Fisica_II.pdf
5,M523,analisis matematico,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Analisis_Matematico.pdf
5,M524,ecuaciones diferenciales parciales i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Ecuaciones_Diferenciales_Parciales_I.pdf
5,M525,probabilidad,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Probabilidad.pdf
6,M626,ingenieria industrial,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/6/Ingenieria_Industrial.pdf
6,M627,finanzas,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Finanzas.pdf
6,M628,analisis de decisiones,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Analisis_de_Decisiones.pdf
6,M629,optimizacion no lineal,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Optimizacion_No_Lineal.pdf
6,M630,ecuaciones diferenciales parciales ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Ecuaciones_Diferenciales_Parciales_II.pdf
6,M631,fisica iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/6/Fisica_III.pdf
6,M632,estadistica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Estadistica.pdf
7,M733,administracion de la produccion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/7/Administracion_de_la_Produccion.pdf
7,M734,sistemas financieros y comerciales,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Sistemas_Financieros_y_Comerciales.pdf
7,M735,econometria,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Econometria.pdf
7,M736,investigacion de operaciones,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Investigacion_de_Operaciones.pdf
7,M737,simulacion i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Simulacion_I.pdf
7,M738,estadistica avanzada,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/7/Estadistica_Avanzada.pdf
7,M739,procesos estocasticos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Procesos_Estocasticos.pdf
8,M840,ingenieria de calidad y reingenieria,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/8/Ingenieria_de_Calidad_y_Reingenieria.pdf
8,M841,ingenieria financiera,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/8/Ingenieria_Financiera.pdf
