Semestre,Clave,Asignatura,Link
5,M521,formulacion y evaluacion de proyectos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Formulacion_y_Evaluacion_de_Proyectos.pdf
5,208,fisica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Fisica_II.pdf
5,M523,analisis matematico,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Analisis_Matematico.pdf
5,,ecuaciones diferenciales parciales i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Ecuaciones_Diferenciales_Parciales_I.pdf
5,M525,probabilidad,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/5/Probabilidad.pdf
6,M627,finanzas,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Finanzas.pdf
6,M630,ecuaciones diferenciales parciales ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Ecuaciones_Diferenciales_Parciales_II.pdf
6,M629,optimizacion no lineal,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Optimizacion_No_Lineal.pdf
6,M628,analisis de decisiones,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Analisis_de_Decisiones.pdf
6,M632,estadistica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/6/Estadistica.pdf
7,M734,sistemas financieros y comerciales,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Sistemas_Financieros_y_Comerciales.pdf
7,M735,econometria,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Econometria.pdf
7,M736,investigacion de operaciones,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Investigacion_de_Operaciones.pdf
7,M737,simulacion i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Simulacion_I.pdf
7,M739,procesos estocasticos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/7/Procesos_Estocasticos.pdf
8,M841,ingenieria financiera,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/8/Ingenieria_Financiera.pdf
8,,seminario para la titulacion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/8/Seminario_para_la_Titulacion.pdf
8,,seminario de modelacion financiera,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/8/Seminario_de_Modelacion_Financiera.pdf
8,M845,simulacion ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/8/Simulacion_II.pdf
8,,sistemas de calidad,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/finaciera/8/Sistemas_de_Calidad.pdf
