Semestre,Clave,Asignatura,Link
5,M521,formulacion y evaluacion de proyectos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/5/Formulacion_y_Evaluacion_de_Proyectos.pdf
5,208,fisica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/5/Fisica_II.pdf
5,M523,analisis matematico,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/5/Analisis_Matematico.pdf
5,,ecuaciones diferenciales parciales i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/5/Ecuaciones_Diferenciales_Parciales_I.pdf
5,M525,probabilidad,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/5/Probabilidad.pdf
6,M626,ingenieria industrial,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/6/Ingenieria_Industrial.pdf
6,314,fisica iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/6/Fisica_III.pdf
6,M629,optimizacion no lineal,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/6/Optimizacion_No_Lineal.pdf
6,M628,analisis de decisiones,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/6/Analisis_de_Decisiones.pdf
6,M632,estadistica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/6/Estadistica.pdf
7,M733,administracion de la produccion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/7/Administracion_de_la_Produccion.pdf
7,M735,econometria,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/7/Econometria.pdf
7,M736,investigacion de operaciones,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/7/Investigacion_de_Operaciones.pdf
7,M737,simulacion i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/7/Simulacion_I.pdf
7,M738,estadistica avanzada,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/7/Estadistica_Avanzada.pdf
8,M840,ingenieria de calidad y reingenieria,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/8/Ingenieria_de_Calidad_y_Reingenieria.pdf
8,,seminario para la titulacion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/8/Seminario_para_la_Titulacion.pdf
8,M843,seminario de modelacion industrial,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/8/Seminario_de_Modelacion_Industrial.pdf
8,M845,simulacion ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/8/Simulacion_II.pdf
8,,sistemas de calidad,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/industrial/8/Sistemas_de_Calidad.pdf
