Semestre,Clave,Asignatura,Link
1,M102,calculo i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/1/Calculo_I.pdf
1,M103,algebra i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/1/Algebra_I.pdf
1,M104,geometria analitica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/1/Geometria_Analitica.pdf
1,M105,informatica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/1/Informatica.pdf
2,M206,introduccion a la ingenieria,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Introduccion_a_la_Ingenieria.pdf
2,M207,calculo ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Calculo_II.pdf
2,M208,algebra ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Algebra_II.pdf
2,M209,matematicas discretas,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Matematicas_Discretas.pdf
2,M210,programacion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/2/Programacion.pdf
3,M311,economia,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Economia.pdf
3,M312,calculo iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Calculo_III.pdf
3,M313,algebra iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Algebra_III.pdf
3,M314,ecuaciones diferenciales ordinarias i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Ecuaciones_Diferenciales_Ordinarias_I.pdf
3,M315,metodos numericos i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/3/Metodos_Numericos_I.pdf
4,M416,ingenieria economica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Ingenieria_Economica.pdf
4,M417,fisica i,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Fisica_I.pdf
4,M418,optimizacion lineal,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Optimizacion_Lineal.pdf
4,M419,ecuaciones diferenciales ordinarias ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Ecuaciones_Diferenciales_Ordinarias_II.pdf
4,M420,metodos numericos ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LIM/tronco-comun/4/Metodos_Numericos_II.pdf
