Semestre,Clave,Asignatura,Link
9,AL901,topologia algoritmica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Topologia-Algorítmica.pdf
9,AL902,criptologia,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Criptologia.pdf
9,AL903,aprendizaje maquina estadistico,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Aprendizaje-Maquina-Estadistico.pdf
9,AL904,teoria riesgo,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Teoria-Riesgo.pdf
9,AL905,teoria informacion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Teoria-Informacion.pdf
9,AL906,analisis complejo,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Analisis-Complejo.pdf
10,AL1001,computo alto desempeno,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Computo-alto-desempeno.pdf
10,AL1002,geometria algoritmica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Geometria-Algoritmica.pdf
10,AL1003,aprendizaje profundo,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Aprendizaje-Profundo.pdf
10,AL1004,computo nube,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Computo-nube.pdf
10,AL1005,fisica computacional,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Fisica-Computacional.pdf
10,AL1006,biologia computacional,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Biologia-Computacional.pdf
10,AL1007,matrices aleatorias,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Matrices-Aleatorias.pdf
10,AL1008,administracion riesgos financieros,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Administracion-Riesgos-Financieros.pdf
10,AL1009,teoria juegos,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Teoría-Juegos.pdf
10,AL1010,seguridad digital,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Seguridad-Digital.pdf
10,AL1011,desarrollo aplicaciones moviles web,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LMA/optativas/Desarrollo-Aplicaciones-Moviles-Web.pdf

